lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
33,2,78.5,3,5,4,1,2,0,0,1
10,0,119.0,6,14,4,1,0,0,3,0
2,2,98.0,8,12,4,3,0,0,0,1
75,2,120.7,12,24,4,2,2,1,0,1
122,2,151.2,10,12,4,4,1,0,3,1
1,2,78.0,12,14,4,1,0,3,0,1
9,0,95.0,10,30,3,1,0,0,0,1
7,1,114.75,5,24,4,1,0,0,0,1
82,0,96.3,6,27,4,0,1,0,0,0
183,1,112.0,8,3,4,4,1,0,0,0
66,1,90.0,11,26,3,3,2,0,3,1
50,1,67.5,12,13,3,2,0,0,0,1
35,0,71.1,3,11,4,2,0,3,0,1
89,0,76.5,3,30,4,3,0,3,0,1
58,2,90.68,10,31,4,3,1,3,0,1
85,0,52.36,7,5,4,1,2,0,0,0
83,0,59.6,3,7,4,1,1,3,0,1
113,0,72.25,7,15,3,2,2,0,0,1
80,1,135.27,8,3,4,3,0,0,3,1
6,0,161.0,3,27,4,3,2,0,3,0
221,0,112.5,8,31,4,1,0,0,0,0
42,1,103.84,4,21,4,3,1,0,0,1
110,1,109.25,5,1,4,3,2,0,0,1
3,1,79.0,11,26,2,1,0,0,0,1
12,0,129.0,2,7,4,1,2,1,0,0
199,0,97.56,8,11,4,7,2,0,0,0
1,0,110.0,9,21,2,1,0,0,3,1
1,1,131.0,7,29,4,2,0,0,0,1
31,1,66.71,11,27,4,3,2,0,0,1
56,1,85.85,3,28,4,5,1,0,0,0
14,0,104.17,8,17,4,4,1,0,0,1
73,0,126.9,6,9,4,3,1,0,0,0
9,0,89.0,6,13,4,0,1,3,0,1
203,0,67.5,12,1,4,3,0,3,0,0
212,2,90.95,7,27,4,10,4,0,0,0
4,0,73.8,2,22,3,1,1,0,0,1
5,0,94.0,11,2,2,2,0,0,3,0
18,1,75.0,12,30,3,2,1,0,0,1
4,2,176.0,7,27,4,4,0,0,3,1
68,1,105.3,7,18,4,1,1,0,0,1
86,1,94.5,4,10,4,1,2,3,0,0
173,1,94.5,8,13,4,1,2,3,0,0
7,0,65.0,12,8,2,4,0,0,0,1
210,3,108.3,8,17,4,3,0,0,3,1
44,0,94.8,11,2,4,4,0,0,0,1
45,1,126.9,6,30,4,3,1,0,0,0
4,3,128.0,8,17,4,1,1,0,0,1
40,0,77.23,2,14,4,5,2,3,0,0
303,0,91.8,12,27,4,3,0,0,3,0
261,1,93.78,10,22,4,4,2,0,0,1
13,2,102.33,9,7,4,2,1,3,0,1
109,1,121.21,8,6,3,1,2,0,3,1
32,0,70.0,12,27,3,5,1,0,0,1
0,0,65.0,12,21,3,1,0,0,0,1
62,0,143.1,5,7,4,1,0,0,0,0
63,1,103.61,10,24,4,4,1,1,3,1
47,2,150.3,7,2,4,1,1,0,3,1
7,0,65.0,8,28,2,1,0,0,0,1
52,0,96.9,12,7,4,4,0,0,3,0
13,1,80.3,1,20,4,4,1,0,0,1
78,1,69.2,3,20,4,5,2,0,3,1
71,0,88.0,11,18,4,2,0,3,0,0
31,0,99.0,8,30,4,4,0,3,0,0
139,1,62.0,2,11,3,3,0,0,3,1
95,2,89.25,9,18,4,2,1,0,0,1
19,1,170.33,6,2,4,3,0,0,3,1
82,0,43.33,3,26,3,1,2,0,0,1
28,0,129.0,10,25,4,3,0,0,0,1
9,1,81.0,2,12,4,2,0,3,0,1
139,0,116.45,7,11,4,4,1,0,0,0
41,0,74.4,9,18,4,3,2,0,0,1
54,1,88.0,11,4,4,2,0,3,0,1
131,0,115.94,6,19,4,3,2,0,0,0
109,0,89.4,10,24,4,2,1,3,0,0
263,0,110.0,10,21,4,2,0,0,0,0
41,1,79.2,12,21,4,3,0,3,0,1
6,2,160.0,10,20,4,3,0,0,0,1
35,2,104.3,4,17,4,2,2,0,0,1
1,0,80.0,2,13,3,1,2,0,0,1
9,0,90.0,9,25,3,0,1,0,0,0
39,2,74.8,12,27,4,1,0,3,0,1
122,0,105.3,5,11,4,1,0,0,0,0
181,2,76.5,8,17,4,0,1,0,0,1
141,1,106.5,8,30,4,3,0,0,0,1
43,0,122.4,11,1,4,4,0,0,3,1
3,0,65.0,11,21,2,0,1,0,0,0
12,0,140.5,12,20,3,2,2,1,3,1
9,1,67.0,10,13,2,2,0,0,0,1
12,0,72.0,1,19,3,3,0,0,0,1
86,0,139.95,7,27,4,4,0,0,3,0
182,1,90.95,9,22,3,5,2,0,3,1
16,1,135.0,3,9,4,3,0,1,0,1
44,1,149.4,9,27,4,2,0,0,3,0
125,2,80.75,10,20,4,5,1,0,0,1
53,0,93.6,11,21,4,1,1,0,0,0
0,0,133.0,12,10,4,1,0,0,3,1
46,1,102.6,12,2,4,2,1,0,3,1
71,1,122.4,7,10,4,3,2,0,3,1
92,0,96.3,6,27,4,0,1,0,0,0
13,3,128.5,8,19,4,2,0,3,0,1
78,0,132.3,10,21,4,2,2,0,3,0
101,0,107.1,8,6,4,1,2,3,0,0
13,0,67.0,2,17,2,1,0,0,0,1
9,0,65.0,11,11,2,1,0,0,0,1
63,1,174.6,8,30,4,2,0,1,3,1
147,0,72.25,7,25,3,5,2,0,0,1
125,0,55.0,3,27,3,2,2,0,0,0
18,2,120.0,2,22,4,2,1,0,0,1
15,1,100.0,3,12,4,2,2,0,0,1
0,1,89.0,3,26,4,1,0,3,0,1
63,0,71.0,1,19,3,2,0,0,0,1
37,1,51.05,12,9,4,3,2,3,0,1
34,0,162.45,3,18,4,2,0,0,5,0
53,2,118.8,10,4,4,3,0,0,0,1
7,2,126.0,9,19,4,1,1,0,0,1
47,2,79.0,10,2,4,3,2,3,0,1
20,1,99.0,1,29,4,2,1,0,3,1
151,0,198.59,8,19,4,3,2,0,1,0
68,2,96.17,9,12,4,5,2,0,0,1
139,1,129.0,6,4,4,1,2,0,0,1
100,1,150.3,8,26,4,2,2,0,3,1
65,2,81.9,11,18,4,1,0,0,3,1
150,2,131.75,7,14,4,8,2,0,3,0
75,1,90.95,4,7,4,3,2,0,0,1
181,1,103.95,7,30,4,2,2,0,0,0
41,2,75.0,11,1,3,3,2,0,3,1
6,0,163.67,7,4,4,2,1,0,0,0
277,2,82.17,10,18,4,5,1,3,0,1
15,0,139.0,9,15,4,2,0,3,0,0
282,0,77.0,11,12,3,1,2,0,0,1
15,0,128.84,5,30,4,5,2,0,3,0
163,2,76.5,8,19,4,4,2,0,0,1
10,2,124.0,9,1,3,1,0,0,0,1
64,1,79.2,11,20,4,1,2,3,0,1
30,1,74.8,12,5,4,3,1,3,0,1
28,1,137.2,10,3,4,5,1,0,3,1
141,0,94.56,8,22,4,2,1,0,0,1
122,0,116.1,6,9,4,3,0,3,0,0
219,0,108.0,9,4,4,1,0,1,0,0
36,1,116.1,5,1,4,2,2,3,0,1
4,2,120.0,2,5,4,2,0,0,0,1
16,1,88.8,3,3,4,3,1,0,3,1
112,0,120.0,10,11,3,2,0,0,0,1
86,2,90.0,11,4,4,2,1,0,0,1
84,0,100.33,12,31,3,3,0,1,0,1
122,1,87.58,7,23,4,7,4,0,3,1
111,0,120.0,10,10,4,0,1,0,0,0
0,0,75.0,3,7,3,2,1,0,0,1
6,2,106.0,2,12,4,2,1,0,3,1
5,0,65.0,9,14,2,0,1,0,0,1
0,2,158.0,9,23,4,2,0,0,0,1
19,0,169.0,7,27,4,2,0,0,0,1
122,1,121.5,5,12,4,3,0,0,3,1
28,2,103.4,10,29,4,3,2,3,0,1
56,0,152.1,7,30,4,2,2,0,3,0
254,1,98.25,10,13,4,2,0,0,0,0
20,1,122.0,8,31,4,2,0,0,0,0
72,0,100.8,4,3,4,1,2,0,3,0
91,0,40.67,3,4,3,2,1,0,0,1
9,1,80.3,1,15,4,2,1,0,0,1
63,0,89.25,10,14,4,2,0,0,0,0
18,0,150.0,6,17,4,2,0,0,0,0
41,1,121.73,4,28,4,3,1,0,0,1
41,1,60.0,11,8,3,3,2,0,3,1
4,0,118.0,3,5,4,1,2,0,3,0
31,0,95.4,3,10,4,3,2,0,3,1
2,2,156.0,8,26,4,1,0,0,5,1
42,1,80.3,1,16,4,1,0,0,0,1
65,0,132.3,6,21,4,1,0,0,3,0
88,1,132.3,10,2,4,0,2,0,3,0
120,0,89.74,4,7,4,5,2,0,0,1
30,2,140.88,11,4,4,2,2,0,3,1
217,0,167.95,8,7,4,5,2,0,5,0
1,3,166.0,8,3,4,1,0,0,3,1
41,0,145.1,8,24,4,3,0,0,0,1
7,0,101.0,3,23,4,1,0,0,0,0
3,3,0.0,6,20,1,0,1,0,3,1
3,2,67.0,5,12,2,1,0,0,0,1
11,0,62.0,3,16,3,3,0,0,1,1
109,1,182.18,12,8,4,3,0,0,6,1
48,0,144.9,8,22,4,1,1,0,0,1
5,4,154.0,9,17,4,1,1,3,0,1
28,2,70.0,3,18,3,2,0,0,0,1
5,0,89.0,4,5,4,1,0,3,0,1
29,0,103.55,6,8,4,2,0,3,0,1
66,1,87.3,9,2,4,2,1,3,0,1
100,1,90.3,3,26,4,1,2,0,0,1
62,2,118.8,12,8,4,2,0,0,0,1
6,1,80.0,3,2,4,2,0,3,0,1
22,1,91.0,3,20,4,0,1,0,0,1
9,1,103.67,12,27,4,1,2,0,0,1
217,2,46.63,12,5,4,7,3,3,0,1
190,0,84.25,8,9,3,5,0,0,3,1
144,1,81.08,7,25,4,1,1,0,0,1
235,1,96.3,8,6,4,1,1,0,0,1
20,0,131.2,9,26,4,3,1,0,3,0
19,0,89.0,9,12,4,0,1,3,0,1
59,1,119.0,12,4,4,2,2,0,3,1
24,1,142.0,9,11,4,0,2,0,3,1
8,1,103.0,3,11,4,2,1,0,1,1
13,0,65.0,11,29,2,1,0,0,0,1
225,0,96.3,8,12,4,2,0,0,0,0
1,0,89.0,5,9,4,1,1,3,0,1
20,2,89.0,9,11,4,0,2,3,0,1
79,0,76.5,3,21,4,2,1,3,0,1
2,0,71.0,2,10,2,1,0,0,0,1
14,1,71.6,1,15,4,1,0,0,0,1
207,2,108.9,10,4,4,1,0,0,0,0
5,1,100.0,5,23,3,1,1,0,0,1
7,0,79.2,11,12,4,1,1,3,0,1
6,1,87.78,9,21,4,1,1,3,0,1
92,1,97.41,4,24,4,3,2,1,0,1
28,1,90.0,4,6,2,1,0,0,3,1
38,0,85.0,8,4,3,5,2,0,0,1
90,0,89.25,10,25,4,4,2,0,0,1
70,2,156.6,12,8,4,3,0,0,5,1
109,2,97.75,11,21,4,4,1,0,3,1
6,1,133.5,3,26,4,2,2,0,0,1
55,2,135.9,9,26,4,3,1,0,0,1
288,0,107.38,12,25,4,4,2,0,3,1
73,1,60.29,3,29,4,2,0,3,0,1
0,0,88.94,10,11,4,0,2,0,0,1
197,1,97.02,8,23,4,5,2,0,0,1
164,1,108.11,9,17,4,3,2,0,3,0
27,2,113.0,12,7,4,3,0,0,0,1
137,0,75.0,6,20,3,3,1,0,0,1
288,0,66.58,12,25,4,4,2,3,0,0
60,1,137.7,7,24,4,4,2,0,3,1
129,0,126.9,6,2,4,3,0,0,0,0
47,0,55.24,1,30,4,2,2,0,0,1
29,1,128.6,4,1,4,2,1,0,0,1
150,1,107.57,8,10,4,4,0,0,3,1
90,0,46.67,3,28,3,2,1,0,3,1
3,0,65.0,10,8,2,1,0,0,0,0
143,1,112.0,7,2,3,1,2,0,0,1
2,1,0.0,1,16,1,1,0,0,0,1
154,0,95.4,8,24,4,2,0,0,0,0
2,1,110.5,12,24,4,2,2,0,4,1
11,1,148.0,12,29,4,3,0,0,3,1
31,0,81.9,3,14,4,1,1,0,1,1
2,0,110.0,5,19,0,1,0,0,3,1
51,0,67.5,2,26,4,2,0,3,0,0
112,1,87.3,4,11,4,2,1,0,0,1
92,1,149.4,5,19,4,1,0,0,3,1
1,0,79.0,2,13,2,1,0,0,0,1
171,0,121.5,8,3,4,3,0,0,0,0
10,2,90.0,8,28,4,1,0,0,0,1
133,1,104.76,6,2,4,3,1,3,0,0
196,0,116.1,9,11,4,0,2,3,0,0
11,1,90.0,8,29,4,1,0,0,0,1
4,1,161.0,5,28,4,1,0,0,0,1
181,1,117.73,5,11,4,4,0,0,3,0
276,0,106.0,11,28,2,2,1,0,4,0
144,2,72.25,12,29,4,3,0,0,0,1
22,1,64.37,11,14,4,2,1,3,0,1
174,0,70.0,10,10,4,1,1,0,0,0
187,2,122.8,7,18,4,2,1,0,3,0
32,2,149.4,9,15,4,2,0,0,3,1
238,0,112.5,10,28,4,2,1,0,0,0
49,0,76.5,3,14,4,1,1,0,0,0
188,2,72.76,7,22,3,2,2,0,0,1
260,0,168.3,12,31,4,1,0,0,5,1
91,0,198.9,5,6,4,2,1,0,5,0
1,0,67.22,1,14,4,1,0,0,0,1
186,1,111.76,7,28,4,3,2,0,3,0
131,0,81.3,4,16,4,1,2,0,0,1
78,1,89.25,10,31,4,6,3,0,0,0
35,0,67.5,2,12,4,2,0,3,0,0
63,1,48.51,2,16,4,3,0,3,0,1
220,1,84.15,12,30,4,2,2,0,0,0
12,0,58.0,12,19,3,2,2,0,0,1
87,0,89.25,9,18,4,2,1,0,0,0
60,0,49.5,9,21,3,1,1,0,0,1
167,1,60.0,3,13,3,2,2,0,3,1
2,2,182.0,2,19,4,1,0,0,5,1
24,0,85.5,9,26,3,0,1,0,0,1
5,2,139.0,7,8,4,1,0,3,0,1
112,0,132.6,6,1,4,4,0,0,3,0
14,1,199.8,10,22,4,3,2,0,5,1
35,1,89.3,2,11,4,3,0,0,3,1
24,1,99.33,5,12,4,3,0,3,0,1
24,1,0.0,11,5,1,1,0,0,0,1
5,0,95.0,4,11,0,11,5,0,0,0
61,0,116.1,5,11,4,3,0,3,0,0
126,1,114.3,7,8,4,1,0,0,0,1
69,0,81.09,9,6,3,2,2,0,0,1
0,0,101.0,3,1,4,1,0,0,0,1
5,2,105.0,8,16,4,1,2,0,0,1
9,1,140.0,10,16,4,2,2,3,0,0
47,0,75.0,10,30,3,5,2,0,0,1
114,0,107.95,5,9,4,3,1,0,3,0
29,1,101.0,4,18,4,0,1,0,0,1
38,0,59.5,11,10,3,3,1,3,0,1
0,0,126.0,10,12,4,1,1,0,0,1
18,2,87.0,1,20,4,4,0,0,0,1
8,0,83.0,11,4,4,1,0,0,0,1
46,0,60.0,1,22,3,2,1,0,0,1
7,1,114.0,10,5,4,1,1,3,0,1
2,0,144.8,11,25,3,2,0,0,5,1
19,1,107.03,9,23,4,2,1,3,0,1
102,1,119.0,12,2,4,2,2,0,3,0
5,2,80.3,1,15,4,2,1,0,0,1
16,1,131.0,7,28,4,2,0,0,0,0
8,0,139.0,9,1,4,1,0,0,0,1
139,0,72.25,6,19,3,2,2,3,0,1
0,0,73.81,8,2,4,1,0,3,0,1
285,0,100.0,10,3,4,3,1,0,0,0
12,1,90.07,11,10,4,3,2,0,0,1
32,0,60.83,9,15,3,5,1,0,0,1
0,0,109.0,3,16,4,1,0,0,0,1
97,2,104.96,7,23,4,1,2,0,3,1
7,3,143.0,9,20,4,1,0,0,0,1
13,2,116.0,7,20,4,1,0,0,3,1
4,0,263.55,6,16,4,1,0,0,1,0
5,1,109.0,6,8,4,1,0,3,0,1
46,0,79.2,11,22,4,1,0,3,0,0
30,0,99.0,4,13,4,4,0,3,0,0
61,1,96.9,12,7,4,4,0,0,3,1
50,0,150.3,6,29,4,3,0,0,3,0
167,0,72.25,8,18,3,4,2,0,0,1
6,1,106.25,5,23,4,2,1,0,0,1
17,1,153.62,10,30,4,2,2,0,5,1
48,2,131.72,11,5,4,1,2,0,3,1
3,1,92.0,8,12,4,2,1,3,0,1
159,0,99.45,8,3,4,6,2,0,0,0
43,0,83.2,12,6,4,5,1,0,0,0
12,0,79.2,5,25,3,1,0,3,0,1
176,0,125.1,9,8,4,3,0,0,0,0
10,0,74.0,12,10,2,1,0,0,0,1
108,2,101.58,4,26,4,4,0,0,3,1
143,0,94.5,8,20,4,1,0,3,0,1
298,2,78.3,12,27,4,3,0,0,0,1
20,0,119.0,9,19,2,0,1,0,0,1
15,1,145.0,7,8,4,2,1,0,0,0
210,1,90.95,8,15,4,3,1,0,0,1
153,2,118.8,10,17,4,3,1,0,0,0
11,1,126.69,11,7,4,3,1,0,3,1
39,0,71.1,3,3,4,3,1,3,0,0
2,1,88.0,1,22,4,2,0,0,0,1
54,1,90.1,11,11,4,2,2,0,0,1
146,2,130.0,6,29,4,2,0,0,0,1
0,0,61.68,7,29,4,1,0,3,0,1
0,1,145.0,10,21,3,1,0,0,3,1
15,1,93.56,6,2,4,3,1,3,0,1
3,2,120.0,12,5,4,1,2,0,0,1
259,0,72.0,11,12,4,5,2,0,1,0
124,0,143.1,9,20,4,5,1,0,3,0
4,1,139.0,2,12,4,2,1,0,3,1
105,2,119.85,6,11,4,5,2,0,0,1
0,0,89.0,4,3,4,0,1,3,0,1
13,1,87.78,9,20,4,0,2,0,0,1
14,1,105.0,9,8,4,3,0,0,0,1
7,0,83.58,12,26,4,1,2,0,1,1
77,1,118.8,7,26,4,4,0,0,3,1
4,2,99.0,6,13,4,0,1,3,0,1
40,0,85.5,6,27,3,2,1,0,0,1
107,0,127.93,5,28,4,2,2,0,0,0
35,1,110.7,6,26,4,3,2,0,0,1
3,0,163.67,8,23,4,3,0,0,3,0
9,0,166.0,7,21,4,1,0,0,3,0
220,1,156.0,9,17,4,1,2,1,0,0
152,0,113.9,8,19,4,3,2,0,3,0
31,0,108.3,8,28,3,3,2,1,0,1
83,0,48.33,3,12,3,4,2,0,0,1
8,0,161.0,4,11,4,1,1,0,3,1
175,0,82.28,10,4,3,4,0,0,0,0
0,1,80.3,1,6,4,2,0,0,0,1
8,1,120.47,11,7,4,3,1,0,0,1
44,0,149.4,9,25,4,1,2,0,3,0
73,0,73.67,3,19,4,4,2,0,0,0
103,2,79.2,12,9,4,2,0,3,0,1
150,0,173.25,7,7,4,3,1,1,0,0
81,0,168.3,9,7,4,3,0,0,3,0
13,1,87.0,2,18,3,3,0,0,0,1
28,1,97.63,4,17,4,1,2,0,0,0
80,0,107.1,6,26,4,3,2,0,0,1
6,0,148.5,4,8,4,2,2,0,3,0
123,1,81.5,4,12,4,5,0,0,1,1
75,0,78.0,3,19,4,1,2,0,1,0
162,1,105.83,8,15,4,3,1,0,0,0
2,0,79.6,1,3,4,0,1,0,3,1
246,0,104.55,12,26,4,3,1,0,3,1
32,1,88.0,12,10,4,1,2,3,0,1
22,1,240.0,7,21,4,2,0,0,5,1
179,0,80.75,9,12,3,5,2,0,0,1
69,2,72.25,11,15,4,0,1,0,0,1
80,0,102.6,12,26,4,2,1,0,3,0
48,1,105.3,3,9,4,3,0,0,3,1
55,0,149.4,7,27,4,4,0,0,3,0
12,0,85.0,7,17,3,0,1,0,0,0
180,2,82.08,8,15,4,5,2,0,3,1
15,0,164.0,9,28,4,1,0,0,3,1
63,0,118.43,9,24,3,4,2,0,0,1
100,2,136.0,5,19,4,3,1,0,0,1
32,1,99.0,9,25,4,1,2,3,0,1
247,0,115.0,6,6,3,1,1,1,0,0
65,1,75.54,10,27,4,1,0,0,0,1
18,0,74.8,12,17,4,2,2,3,0,1
111,0,150.3,8,14,4,4,2,0,3,0
23,0,154.0,11,25,4,2,2,0,3,0
0,1,230.0,8,17,4,1,0,0,5,1
151,1,162.0,9,23,4,2,2,0,3,0
15,2,138.0,9,2,4,2,0,0,0,1
3,0,128.0,4,28,4,1,0,3,0,1
91,0,85.5,4,25,4,2,1,3,0,0
133,3,118.8,9,27,4,4,0,3,0,1
11,2,139.0,8,8,4,3,1,3,0,1
101,2,85.28,4,9,4,4,2,0,0,1
20,0,119.0,9,19,2,2,1,0,0,1
21,0,375.5,12,30,4,2,0,0,3,1
201,0,86.5,7,21,4,1,0,0,1,0
18,0,75.54,12,1,4,6,2,3,0,1
49,0,137.7,6,19,4,3,2,0,3,0
45,1,145.2,9,5,4,2,1,1,0,0
263,0,59.5,9,21,3,0,1,0,0,1
100,3,65.49,2,25,4,3,1,0,3,1
44,1,74.8,12,2,4,2,2,3,0,1
256,1,83.18,10,18,4,5,2,3,0,0
2,0,94.0,12,11,4,1,0,3,0,1
65,0,87.0,12,18,2,0,1,0,0,1
189,1,99.45,8,6,4,5,2,0,0,0
203,0,58.14,8,3,4,4,0,3,0,0
3,0,67.0,7,21,2,1,0,0,0,1
7,0,79.0,11,16,2,0,1,0,0,1
12,1,90.0,6,8,3,1,0,0,0,1
27,0,90.0,3,10,4,1,0,3,0,1
213,1,80.24,5,29,3,5,3,0,0,1
36,0,134.46,9,10,4,1,2,0,3,0
1,0,95.0,5,25,0,1,0,0,0,0
28,1,85.59,11,4,4,4,0,0,3,1
50,2,126.0,10,16,4,2,2,0,0,1
43,0,115.5,5,31,4,3,0,0,0,1
0,0,124.0,8,10,4,3,1,0,0,1
1,1,142.0,9,9,4,2,0,0,0,0
24,0,45.5,2,29,3,3,1,0,0,1
6,1,154.0,8,19,4,1,0,0,3,1
4,0,100.0,12,4,3,0,1,0,0,1
172,0,102.3,8,23,4,3,0,0,0,0
29,0,156.0,5,18,4,1,0,0,3,0
195,0,109.23,9,3,4,6,2,0,0,0
8,0,65.0,10,6,2,1,0,0,0,1
14,1,134.0,5,30,4,1,1,0,0,1
24,1,85.0,10,17,3,3,1,0,0,1
11,0,90.0,6,14,2,3,0,0,3,1
172,0,109.8,8,17,4,2,0,0,0,0
199,0,119.0,12,28,4,4,2,0,3,1
15,0,97.0,3,12,4,1,2,0,0,0
196,0,139.5,8,21,4,0,2,1,0,0
0,0,79.0,1,26,2,2,0,0,0,1
20,3,127.2,9,25,4,4,2,0,3,1
61,1,80.75,10,24,4,1,0,0,0,1
110,2,130.0,10,9,3,2,2,0,0,0
120,3,80.75,6,18,3,3,2,0,0,1
180,0,85.5,8,25,4,2,0,3,0,0
4,0,144.0,5,23,3,0,1,3,0,1
34,0,81.0,6,19,4,1,2,0,0,0
3,0,185.57,4,7,4,2,0,0,6,1
93,0,143.23,6,20,4,3,1,0,3,0
9,3,169.0,9,8,4,1,0,0,0,1
16,0,104.67,11,18,4,2,1,0,0,1
4,0,65.0,4,10,2,1,2,0,0,1
0,0,65.0,10,3,2,0,1,0,0,1
5,1,134.3,11,8,4,5,0,1,0,1
127,1,160.2,10,18,4,2,0,0,3,1
11,0,79.5,11,1,3,6,2,3,0,1
0,1,119.0,6,16,4,1,0,3,0,1
17,1,80.0,3,17,2,2,0,0,0,1
37,0,105.3,4,11,4,1,1,0,0,0
2,0,94.0,10,30,0,0,2,0,3,1
106,0,105.0,5,21,3,3,2,1,0,1
118,1,90.95,4,13,4,4,0,0,0,1
12,4,0.0,8,17,1,1,0,0,0,1
48,0,157.5,7,2,4,3,2,0,3,0
29,0,118.0,12,31,3,3,0,0,0,1
116,2,135.0,12,22,4,3,0,0,3,1
160,2,200.7,10,13,4,3,2,0,3,0
16,0,131.2,4,8,4,3,2,0,3,0
277,0,80.0,9,5,4,5,2,0,0,0
121,2,123.3,7,7,4,1,0,0,0,1
71,1,105.3,12,24,4,3,1,0,0,1
52,0,78.3,3,5,4,1,0,0,0,0
226,0,70.0,10,29,4,2,2,0,0,0
10,0,160.0,3,22,4,5,0,0,3,1
35,1,73.1,3,4,4,2,0,3,0,1
31,1,83.9,3,5,4,1,2,0,0,1
75,0,140.4,5,26,4,2,0,0,3,0
77,0,107.95,4,16,4,2,2,0,3,0
154,0,75.0,7,1,4,2,1,0,0,0
8,1,89.25,5,25,4,1,0,0,0,1
6,0,93.0,2,22,4,2,1,0,0,1
18,0,48.5,11,17,4,3,1,3,0,0
65,3,149.4,9,15,4,5,2,0,3,1
66,1,58.0,2,11,3,2,0,0,0,1
46,0,107.1,6,28,4,2,0,3,0,0
16,0,105.0,9,2,4,3,0,0,0,1
77,0,159.3,5,17,4,3,0,0,0,0
28,2,100.7,3,9,4,4,0,0,3,1
30,0,85.0,12,3,2,1,0,0,0,1
46,2,107.55,10,19,4,2,0,3,0,1
56,0,75.0,11,16,3,2,0,0,0,1
61,0,121.5,7,23,4,1,1,0,0,0
14,0,80.08,5,31,4,2,0,3,0,1
42,0,144.23,8,29,4,3,1,0,3,0
82,2,72.25,11,2,4,2,1,0,0,1
204,0,81.81,7,12,4,4,0,0,1,0
60,2,89.25,10,25,4,2,2,0,0,1
253,2,80.75,9,12,4,5,2,0,0,1
91,0,59.37,4,2,4,2,2,0,0,1
90,1,127.8,4,28,4,2,0,0,0,0
169,0,130.05,7,25,4,5,1,0,3,0
0,1,68.4,1,24,3,2,2,0,3,1
72,1,100.0,9,14,2,2,0,3,0,0
70,1,125.1,9,15,4,1,0,3,0,1
91,0,80.75,5,12,3,3,0,0,0,1
5,0,115.8,10,18,3,3,2,0,0,1
81,0,119.07,10,10,4,3,1,0,3,0
80,2,126.9,5,13,4,2,0,0,0,1
43,2,135.9,9,9,4,1,0,0,0,1
26,2,177.0,5,19,4,1,0,0,3,1
48,3,131.7,7,9,4,1,2,0,0,1
84,0,90.95,4,14,4,3,2,0,0,1
88,0,68.0,10,7,2,2,1,0,0,1
36,1,131.4,6,28,4,5,0,0,3,1
32,1,105.0,7,18,3,1,1,0,0,1
32,0,228.6,4,16,4,5,2,1,5,0
59,0,147.9,12,16,4,3,2,0,5,0
75,0,60.0,12,7,3,2,1,0,3,1
10,0,66.0,2,4,2,1,0,0,0,1
38,0,125.1,8,21,4,0,1,3,0,0
1,0,77.71,6,17,4,2,0,3,0,1
158,1,121.8,7,28,4,3,0,0,3,0
122,2,153.0,5,12,4,3,0,0,3,1
16,0,82.8,2,5,4,2,0,0,3,1
143,2,129.6,9,21,4,4,1,0,0,0
1,1,119.0,4,12,4,1,0,3,0,1
0,1,177.0,6,21,4,1,0,0,3,1
2,0,110.0,5,22,0,0,1,0,3,0
54,1,118.8,4,7,4,3,0,0,3,1
4,2,183.5,3,11,4,2,0,1,3,1
13,0,110.0,9,20,2,3,0,0,3,0
57,1,123.3,9,2,4,2,0,0,3,1
78,1,80.75,4,10,4,2,2,3,0,1
17,2,114.0,11,12,4,1,1,3,0,1
6,1,67.0,12,8,2,1,0,0,0,1
10,0,104.0,9,19,2,1,1,0,0,1
112,1,95.63,7,11,4,5,3,3,0,1
6,2,67.0,12,8,2,1,0,0,0,1
0,1,170.0,8,9,4,5,1,0,0,1
36,0,71.25,10,29,3,3,1,0,3,1
71,0,198.9,4,29,4,2,1,0,5,0
24,0,89.0,1,6,4,2,0,0,0,1
1,0,135.0,9,17,2,1,0,0,0,1
0,0,149.0,8,27,4,1,1,3,0,1
15,2,127.0,9,12,4,0,1,0,0,1
280,2,198.9,8,12,4,1,0,0,1,0
43,1,126.9,7,1,4,2,1,0,0,1
3,0,120.0,10,16,4,0,2,0,0,1
142,0,187.0,10,21,4,7,2,1,3,0
20,0,77.71,11,11,4,5,2,3,0,0
60,1,81.08,7,20,4,1,0,0,0,1
85,2,72.25,3,28,4,5,1,3,0,1
115,0,141.84,9,18,4,5,2,1,3,1
63,1,105.3,4,22,4,2,1,0,0,0
25,1,113.31,6,26,4,4,2,0,3,1
24,0,96.0,11,20,4,0,1,0,0,1
119,0,103.7,4,28,4,4,2,0,3,0
222,1,85.5,8,12,4,2,0,3,0,0
197,0,137.0,12,21,3,4,1,1,0,1
7,2,121.0,11,13,4,3,2,0,3,1
1,1,86.43,12,27,3,5,2,0,0,1
62,0,117.9,6,9,4,3,0,0,0,0
13,2,140.0,10,17,4,2,1,3,0,1
42,1,126.0,10,10,4,0,1,0,0,0
42,1,118.5,10,31,4,1,1,0,0,1
32,1,0.0,11,7,1,0,1,3,3,1
159,0,70.5,12,29,3,4,0,0,0,1
45,0,81.62,10,23,4,1,0,0,0,1
58,0,105.3,4,13,4,2,0,0,0,0
1,1,151.0,8,4,4,1,0,0,0,1
